objective,well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,sd_epsilon_darcy,sd_epsilon_lagging,aic_darcy,aic_lagging,delta_aic_lagging_minus_darcy,bic_darcy,bic_lagging,delta_bic_lagging_minus_darcy
raw,MW-13,0.004489757987047158,0.002926413757276483,0.0035498846104898203,0.002314894653222187,0.5163115477218945,0.06586256642725366,-320.35738874693516,-342.03865475478585,-21.681266007850695,-317.55499398361087,-336.4338652281372,-18.87887124452635
raw,MW-12,0.035819105653145465,0.017348205301802887,0.03062409563917754,0.013969794530592583,0.05631352292012384,0.21486932308501688,-288.9760988412271,-348.7754272506967,-59.79932840946958,-285.4077195733906,-341.63866871502364,-56.23094914163306
raw,MW-10,0.013778050971813543,0.009384209009973358,0.011221101020967721,0.005836189020569865,2.6546500095424337,0.02865111056128421,-398.75977545719013,-430.86032811721026,-32.10055266002013,-395.05948025377,-423.45973771037,-28.400257456600002
raw,MW-08,0.09576875209916749,0.030082799388537314,0.08209649313470245,0.024723341724706666,0.07030520808744982,0.02169556539110995,-197.74041901180476,-293.3269478728939,-95.58652886108916,-194.21801878041762,-286.28214741011965,-92.06412862970203
raw,MW-11,0.10236844877408507,0.030358125688771512,0.08937564531354109,0.02313379227013552,0.12510486067407092,0.12488741946374317,-173.77578504102846,-264.58590303622117,-90.81011799519271,-170.44866174876915,-257.93165645170257,-87.48299470293341
raw,MW-05,0.004566751633895202,0.00322591821914178,0.003640188404152057,0.002248587032695965,0.4553591534084998,0.034830648810379075,-297.781375225501,-313.2461084081461,-15.464733182645091,-295.11696620515056,-307.9172903674453,-12.800324162294714
raw,MW-06,0.0036224695729630014,0.0033529488505281047,0.003185121808584384,0.002797503136665442,0.2505865184367673,0.08445274546423466,-299.5123612961923,-299.687413588431,-0.17505229223871765,-296.92068756418365,-294.5040661244137,2.4166214397699264
raw,MW-07,0.004289700958164052,0.002852001114285187,0.003071214409029825,0.0021979051937768067,0.0920925840522756,0.21554589823148912,-377.6076778635453,-402.1814070008958,-24.573729137350483,-374.49698174056647,-395.96001475493813,-21.46303301437166
raw,MW-03,0.0055757744618461745,0.004448285636060042,0.004453077998819223,0.0036362915899227823,0.3382991885391255,0.2581422250913217,-317.7380913703781,-327.7446634560438,-10.00657208566571,-314.8701169614078,-322.0087146381032,-7.138597676695383
raw,MW-04,0.00464926083960217,0.004184142293964778,0.0037926366995001,0.0034027569050646377,0.41398340244367166,0.3166368421873504,-307.52072781212695,-309.6343055359926,-2.11357772386566,-304.78613615215403,-304.1651222160467,0.6210139361073175
raw,MW-02,0.00425751123722826,0.003458318248489885,0.003382824269953755,0.0027019319814072774,0.33511525117269797,0.2203859623251228,-345.3805123862376,-354.6862632592282,-9.305750872990586,-342.44904058063815,-348.8233196480293,-6.374279067391171
raw,MW-01,0.01109733067467401,0.00694609206380192,0.00823644555427962,0.00576752304755307,0.0857563700637193,0.35089676036711465,-311.0735475539989,-339.8703249370692,-28.79677738307032,-307.96285143102006,-333.64893269111155,-25.6860812600915
